district,state,area
Latehar,Jharkhand,4289602077
Latur,Maharashtra,7198969692
Lawngtlai,Mizoram,2517757427
Leh,Jammu & Kashmir,47740229376
Lohardaga,Jharkhand,1501595994
Lohit,Arunachal Pradesh,3907540946
Longleng,Nagaland,504928814.2
Lower Dibang Valley,Arunachal Pradesh,4077663542
Lower Subansiri,Arunachal Pradesh,2870931946
Lucknow,Uttar Pradesh,2530631126
Ludhiana,Punjab,3692141489
Lunglei,Mizoram,4562334003
Madhepura,Bihar,1802076219
Madhubani,Bihar,3435339766
Madurai,Tamil Nadu,3709809006
Mahamaya Nagar,Uttar Pradesh,1782663604
Mahrajganj,Uttar Pradesh,2951785147
Mahasamund,Chhattisgarh,4758942326
Mahbubnagar,Telangana,18442755640
Mahendragarh,Haryana,1933596642
Mahe,Puducherry,9631870.917
Mahesana,Gujarat,4392562921
Mahoba,Uttar Pradesh,3010074023
Mainpuri,Uttar Pradesh,2738434780
Malappuram,Kerala,3534927194
Maldah,West Bengal,3585748350
Malkangiri,Odisha,5753284750
Mamit,Mizoram,3097589271
Mandi,Himanchal Pradesh,3950811220
Mandla,Madhya Pradesh,7583116420
Mandsaur,Madhya Pradesh,5554934532
Mandya,Karnataka,4963547556
Mansa,Punjab,2194938919
Mathura,Uttar Pradesh,3342864880
Mau,Uttar Pradesh,1735817983
Mayurbhanj,Odisha,10400333745
Medak,Telangana,9712131375
Meerut,Uttar Pradesh,2593805822
Mewat,Haryana,1526648007
Mirzapur,Uttar Pradesh,4417134465
Moga,Punjab,2229516017
Mokokchung,Nagaland,1603929480
Mon,Nagaland,2099235198
Moradabad,Uttar Pradesh,3803601911
Morena,Madhya Pradesh,4987853581
Morigaon,Assam,1511266829
Muktsar,Punjab,2642051122
Mumbai Suburban,Maharashtra,361117940.7
Mumbai,Maharashtra,73006953.05
Munger,Bihar,1410998568
Murshidabad,West Bengal,5430489918
Muzaffarnagar,Uttar Pradesh,4003337597
Muzaffarpur,Bihar,3178889564
Mysore,Karnataka,6308858814
Nabarangapur,Odisha,5456043340
Nadia,West Bengal,3865412476
Nagaon,Assam,4034208876
Nagapattinam,Tamil Nadu,2528164272
Nagaur,Rajasthan,17802936596
Nagpur,Maharashtra,9894728852
Nainital,Uttarakhand,3990895211
Nalanda,Bihar,2368150484
Nalbari,Assam,1046817166
Nalgonda,Telangana,14231969587
Namakkal,Tamil Nadu,3419440706
Nanded,Maharashtra,10537957587
Nandurbar,Maharashtra,5964775429
Narayanpur,Chhattisgarh,4195366682
Narmada,Gujarat,2817416015
Narsimhapur,Madhya Pradesh,5136704693
Nashik,Maharashtra,15512912204
Navsari,Gujarat,2160301023
Nawada,Bihar,2492817320
Nayagarh,Odisha,3895620779
Neemuch,Madhya Pradesh,4309478767
New Delhi,Delhi,39297263.96
Nicobars,Andaman and Nicobar Islands,1743338783
Nizamabad,Telangana,7958940839
North & Middle Andaman,Andaman and Nicobar Islands,3431798984
North  District,Sikkim,4227173857
North East,Delhi,62173965.77
North Goa,Goa,1690737422
North Tripura,Tripura,2074076242
North Twenty Four Parganas,West Bengal,4053570882
North West,Delhi,413636314.2
North,Delhi,54961446.41
Nuapada,Odisha,3853546821
Osmanabad,Maharashtra,7577301978
Pakur,Jharkhand,1813568737
Palakkad,Kerala,4480462804
Palamu,Jharkhand,4392152349
Pali,Rajasthan,12385178803
Palwal,Haryana,1364585514
Panchmahal,Gujarat,5240858985
Panchkula,Haryana,896999936
Panipat,Haryana,1266959571
Panna,Madhya Pradesh,7082647964
Papumpare,Arunachal Pradesh,3773590473
Parbhani,Maharashtra,6440216606
Pashchimi Singhbhum,Jharkhand,7231919403
Paschim Medinipur,West Bengal,9366078585
Pashchim Champaran,Bihar,5232452679
Patan,Gujarat,5782122612
Pathanamthitta,Kerala,2650859651
Patiala,Punjab,3334435215
Patna,Bihar,3178811978
Perambalur,Tamil Nadu,1746181277
Peren,Nagaland,1713547870
Phek,Nagaland,1895296127
Pilibhit,Uttar Pradesh,3740232747
Pithoragarh,Uttarakhand,6762339825
Porbandar,Gujarat,2325695536
Prakasam,Andhra Pradesh,17615961263
Pratapgarh,Rajasthan,4422491495
Pratapgarh,Uttar Pradesh,3712807202
Puducherry,Puducherry,198981055.8
Pudukkottai,Tamil Nadu,4672657572
Pulwama,Jammu & Kashmir,733771310.1
Punch,Jammu & Kashmir,1628825624
Pune,Maharashtra,15654400274
Purba Champaran,Bihar,3960498516
Purba Medinipur,West Bengal,4047921212
Purbi Singhbhum,Jharkhand,3554713539
Puri,Odisha,3428179725
Purnia,Bihar,3214316443
Puruliya,West Bengal,6255716753
Rae Bareli,Uttar Pradesh,4601671841
Raichur,Karnataka,8444330003
Raigarh,Chhattisgarh,7043839681
Raigarh,Maharashtra,6852278181
Raipur,Chhattisgarh,12414869147
Raisen,Madhya Pradesh,8479225121
Rajgarh,Madhya Pradesh,6169496587
Rajkot,Gujarat,11214951724
Rajnandgaon,Chhattisgarh,8070881119
Rajouri,Jammu & Kashmir,2563783731
Rajsamand,Rajasthan,4639073465
Ramanagara,Karnataka,3513668825
Ramanathapuram,Tamil Nadu,4286367653
Ramban,Jammu & Kashmir,902257426.8
Ramgarh,Jharkhand,1394099391
Rampur,Uttar Pradesh,2366709351
Ranchi,Jharkhand,5009331920
Rangareddy,Telangana,7498980842
Ratlam,Madhya Pradesh,4862659524
Ratnagiri,Maharashtra,8222631488
Rayagada,Odisha,7343948890
Reasi,Jammu & Kashmir,2083778831
Rewa,Madhya Pradesh,6298170303
Rewari,Haryana,1561672246
Ribhoi,Meghalaya,2404538800
Rohtak,Haryana,1628032564
Rohtas,Bihar,3844465688
Rudraprayag,Uttarakhand,1988397152
Rupnagar,Punjab,1374674053
Sabarkantha,Gujarat,7399393702
Sagar,Madhya Pradesh,10271461301
Saharanpur,Uttar Pradesh,3719959807
Saharsa,Bihar,1665793835
Sahibganj,Jharkhand,2193085526
Sahibzada Ajit Singh Nagar,Punjab,1141701970
Shahid Bhagat Singh Nagar,Punjab,1264741239
Saiha,Mizoram,1445556459
Salem,Tamil Nadu,5237971959
Samastipur,Bihar,2687266185
Samba,Jammu & Kashmir,843296685.8
Sambalpur,Odisha,6645414725
Sangli,Maharashtra,8608884464
Sangrur,Punjab,3616840962
Sant Kabir Nagar,Uttar Pradesh,1642019164
Sant Ravidas Nagar (Bhadohi),Uttar Pradesh,1015224711
Saraikela Kharsawan,Jharkhand,2660910310
Saran,Bihar,2678489973
Satara,Maharashtra,10478822208
Satna,Madhya Pradesh,7538228861
Sawai Madhopur,Rajasthan,5022298522
Sehore,Madhya Pradesh,6569881837
Senapati (Excluding 3 Sub-Divisions),Manipur,3482626064
Seoni,Madhya Pradesh,8762868032
Serchhip,Mizoram,1149554858
Shahdol,Madhya Pradesh,5680690086
Shahjahanpur,Uttar Pradesh,4316665219
Shajapur,Madhya Pradesh,6197340674
Sheikhpura,Bihar,664372852.3
Sheohar,Bihar,441989822.3
Sheopur,Madhya Pradesh,6608687380
Shimla,Himanchal Pradesh,5125431727
Shimoga,Karnataka,8479502023
Shivpuri,Madhya Pradesh,10293803186
Shrawasti,Uttar Pradesh,1900763509
Shupiyan,Jammu & Kashmir,724236818.6
Siddharth Nagar,Uttar Pradesh,2870077697
Sidhi,Madhya Pradesh,4776415419
Sikar,Rajasthan,7717372263
Simdega,Jharkhand,3768978974
Sindhudurg,Maharashtra,5071374379
Singrauli,Madhya Pradesh,5745471758
Sirmaur,Himanchal Pradesh,2831211118
Sirohi,Rajasthan,5139205865
Sirsa,Haryana,4302673889
Sitamarhi,Bihar,2167491086
Sitapur,Uttar Pradesh,5741463130
Sivaganga,Tamil Nadu,4097756724
Sivasagar,Assam,2641455741
Siwan,Bihar,2218373249
Solan,Himanchal Pradesh,1936536529
Solapur,Maharashtra,14868726247
Sonbhadra,Uttar Pradesh,6906710601
Sonipat,Haryana,2229822910
Sonitpur,Assam,5229244569
South Andaman,Andaman and Nicobar Islands,2576140755
South District,Sikkim,735034816.1
South Garo Hills,Meghalaya,1901028428
South Goa,Goa,1938293641
South Tripura,Tripura,3135562158
South Twenty Four Parganas,West Bengal,7903202525
South West,Delhi,439596194.6
South,Delhi,245474905.4
Sri Potti Sriramulu Nellore,Andhra Pradesh,13213032783
Srikakulam,Andhra Pradesh,5876973105
Srinagar,Jammu & Kashmir,627808509.2
Subarnapur,Odisha,2364155591
Sultanpur,Uttar Pradesh,4430497914
Sundargarh,Odisha,9744414791
Supaul,Bihar,2438567712
Surat,Gujarat,4223788001
Surendranagar,Gujarat,10407049028
Surguja,Chhattisgarh,15727558488
Tamenglong,Manipur,4196900889
Tapi,Gujarat,3141202519
Tarn Taran,Punjab,2421178326
Tawang,Arunachal Pradesh,2072297530
Tehri Garhwal,Uttarakhand,3910080027
Thane,Maharashtra,9418117752
Thanjavur,Tamil Nadu,3480640605
The Dangs,Gujarat,1762786755
The Nilgiris,Tamil Nadu,2563323763
Theni,Tamil Nadu,2866243294
Thiruvallur,Tamil Nadu,3391588990
Thiruvananthapuram,Kerala,2196524135
Thiruvarur,Tamil Nadu,2117633182
Thoothukkudi,Tamil Nadu,4624433135
Thrissur,Kerala,3021420351
Tikamgarh,Madhya Pradesh,5035995681
Tinsukia,Assam,3811581576
Tirap,Arunachal Pradesh,2090013940
Tiruchirappalli,Tamil Nadu,4495088945
Tirunelveli,Tamil Nadu,6801222711
Tiruppur,Tamil Nadu,4893642471
Tiruvannamalai,Tamil Nadu,6190831055
Tonk,Rajasthan,7204781269
Thoubal,Manipur,713466399.7
Tuensang,Nagaland,1875791621
Tumkur,Karnataka,10600714388
Udaipur,Rajasthan,11711331890
Udalguri,Assam,2025252839
Udham Singh Nagar,Uttarakhand,2660581613
Udhampur,Jammu & Kashmir,2458031774
Udupi,Karnataka,3588138588
Ujjain,Madhya Pradesh,6100962530
Ukhrul,Manipur,4329518306
Umaria,Madhya Pradesh,4567402845
Una,Himanchal Pradesh,1544221802
Unnao,Uttar Pradesh,4569876796
Upper Siang,Arunachal Pradesh,6579714367
Upper Subansiri,Arunachal Pradesh,6675377302
Uttar Bastar Kanker,Chhattisgarh,6887687130
Uttar Dinajpur,West Bengal,3083708738
Uttara Kannada,Karnataka,10279573999
Uttarkashi,Uttarakhand,6579303508
Vadodara,Gujarat,7543901592
Vaishali,Bihar,2021709558
Valsad,Gujarat,2949400827
Varanasi,Uttar Pradesh,1533380845
