GIS_ST_NAME,GIS_ST_ABBR,GIS_PC_NAME,ST_CODE,PC_CODE,PC_ID,DISTRICT,GIS_Dist_code,AREA_GEO,Tot_area,Pct_Area,POP,Tot_pop,Pct_pop
Rajasthan,RJ,Bharatpur,S20,9,S20_9,Alwar,104,3326.657231,8305.270907,0.400547709,1613071.311,3830825.3,0.421076709
Rajasthan,RJ,Bharatpur,S20,9,S20_9,Alwar,104,5.516260232,8305.270907,0.000664188,2528.103115,3830825.3,0.000659937
Rajasthan,RJ,Bharatpur,S20,9,S20_9,Bharatpur,105,5054.506729,5054.507062,0.999999934,2697025.689,2697025.689,1
Rajasthan,RJ,Karauli - Dhaulpur,S20,10,S20_10,Dhaulpur,106,3026.909409,3026.909715,0.999999899,1243751.967,1244811.124,0.999149142
Rajasthan,RJ,Karauli - Dhaulpur,S20,10,S20_10,Karauli,107,4473.349157,4938.402075,0.905829272,1304206.492,1455866.721,0.895828219
Rajasthan,RJ,Dausa,S20,11,S20_11,Karauli,107,113.1789898,4938.402075,0.02291814,50451.21053,1455866.721,0.034653729
Rajasthan,RJ,Tonk - Sawai Madhopur,S20,12,S20_12,Karauli,107,351.8724619,4938.402075,0.071252291,100631.0825,1455866.721,0.069121082
Rajasthan,RJ,Karauli - Dhaulpur,S20,10,S20_10,Sawai Madhopur,108,372.979735,5036.063474,0.074061762,112445.7469,1485218.556,0.075709899
Rajasthan,RJ,Tonk - Sawai Madhopur,S20,12,S20_12,Sawai Madhopur,108,4663.083572,5036.063474,0.925938205,1372528.142,1485218.556,0.924125366
Rajasthan,RJ,Dausa,S20,11,S20_11,Dausa,109,3464.99609,3477.017076,0.99654273,1622435.942,1625871.609,0.997886877
Rajasthan,RJ,Jaipur Rural,S20,6,S20_6,Dausa,109,6.384458132,3477.017076,0.001836188,2939.589452,1625871.609,0.001808008
Rajasthan,RJ,Bharatpur,S20,9,S20_9,Dausa,109,5.516260232,3477.017076,0.001586492,,1625871.609,
Rajasthan,RJ,Dausa,S20,11,S20_11,Jaipur,110,2019.236156,11262.70183,0.179285236,935910.9194,6985417.082,0.133980678
Rajasthan,RJ,Ajmer,S20,13,S20_13,Jaipur,110,2030.428133,11262.70183,0.180278957,907512.6187,6985417.082,0.129915309
Rajasthan,RJ,Sikar,S20,5,S20_5,Jaipur,110,497.200687,11262.70183,0.044145774,268482.4936,6985417.082,0.038434712
Rajasthan,RJ,Jaipur Rural,S20,6,S20_6,Jaipur,110,5796.039715,11262.70183,0.514622495,2971770.465,6985417.082,0.425424915
Rajasthan,RJ,Jaipur,S20,7,S20_7,Jaipur,110,919.7969436,11262.70183,0.081667521,1900722.121,6985417.082,0.272098587
Rajasthan,RJ,Jhunjhunun,S20,4,S20_4,Sikar,111,1144.924115,7693.061723,0.148825546,475305.0615,2801172.322,0.169680765
Rajasthan,RJ,Sikar,S20,5,S20_5,Sikar,111,6548.137271,7693.061723,0.85117441,2326004.49,2801172.322,0.830368225
Rajasthan,RJ,Nagaur,S20,14,S20_14,Nagaur,112,13782.74221,17653.97349,0.78071615,2764523.344,3459735.208,0.799056338
Rajasthan,RJ,Bikaner,S20,2,S20_2,Nagaur,112,6.651613587,17653.97349,0.000376777,884.0908668,3459735.208,0.000255537
Rajasthan,RJ,Rajsamand,S20,22,S20_22,Nagaur,112,3862.118069,17653.97349,0.218767637,694536.531,3459735.208,0.200748465
Rajasthan,RJ,Churu,S20,3,S20_3,Nagaur,112,2.461253266,17653.97349,0.000139416,274.8921432,3459735.208,7.94547E-05
